curated_family,count
Aminotransferase,1333
BAHD acyltransferase,1333
Cytochrome P450,1333
Dioxygenase,1333
Methyltransferase,1333
Peroxidase,1333
UDP glycosyltransferase,1333
Polyketide synthase,884
GDSL lipase esterase,166
