group_id,target_enzyme,target_family,stage,members,member_count,source_score_list,match_schema,epsilon_threshold,synergy_group_score,evidence_class
4d6a9fb3e46aa5dc,photosystem II,PSII,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
c674a4ab991cc5b7,acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
07e786a98fe5cca2,cytochrome P450,Cytochrome P450,specialized_metabolism,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
b225d68f7b9fd276,protoporphyrinogen oxidase,PPO,vegetative_expansion,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
77ed296fd7866d71,acetyl-CoA carboxylase,ACCase,vegetative_expansion,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
94db419e251ac005,EPSP synthase,EPSPS,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
9e01c33b47ed33c6,cellulase,CAZy,germination,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
ca2fc919e97a2393,protoporphyrinogen oxidase,PPO,vegetative_expansion,(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium;2-(2-hydroxyethylthio)ethanesulfonate,2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium:[SKiD_substrates,0.505]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9033752585294872,inhibit_synergy_model_inference_requires_assay_validation
1ceb1dc915088dd9,acetyl-CoA carboxylase,ACCase,vegetative_expansion,(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium;2-(2-hydroxyethylthio)ethanesulfonate,2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium:[SKiD_substrates,0.505]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9033752585294872,inhibit_synergy_model_inference_requires_assay_validation
3a922dd43b64fd28,photosystem II,PSII,early_vegetative,(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium;2-(2-hydroxyethylthio)ethanesulfonate,2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium:[SKiD_substrates,0.505]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9033752585294872,inhibit_synergy_model_inference_requires_assay_validation
