node_id,node_type,label,source_resource,evidence_class
EnzymeEC:1.1.3.9,EnzymeEC,1.1.3.9,SKiD,real_evidence
EnzymeEC:1.1.5.2,EnzymeEC,1.1.5.2,SKiD,real_evidence
EnzymeEC:1.1.5.5,EnzymeEC,1.1.5.5,SKiD,real_evidence
EnzymeEC:1.1.5.9,EnzymeEC,1.1.5.9,SKiD,real_evidence
EnzymeEC:1.1.99.18,EnzymeEC,1.1.99.18,SKiD,real_evidence
EnzymeEC:1.1.99.29,EnzymeEC,1.1.99.29,SKiD,real_evidence
EnzymeEC:1.1.99.31,EnzymeEC,1.1.99.31,SKiD,real_evidence
EnzymeEC:1.1.99.38,EnzymeEC,1.1.99.38,SKiD,real_evidence
EnzymeEC:1.10.3.2,EnzymeEC,1.10.3.2,SKiD,real_evidence
EnzymeEC:1.11.1.1,EnzymeEC,1.11.1.1,SKiD,real_evidence
EnzymeEC:1.11.1.10,EnzymeEC,1.11.1.10,SKiD,real_evidence
EnzymeEC:1.11.1.12,EnzymeEC,1.11.1.12,SKiD,real_evidence
EnzymeEC:1.11.1.16,EnzymeEC,1.11.1.16,SKiD,real_evidence
EnzymeEC:1.11.1.19,EnzymeEC,1.11.1.19,SKiD,real_evidence
EnzymeEC:1.11.1.21,EnzymeEC,1.11.1.21,SKiD,real_evidence
EnzymeEC:1.11.1.28,EnzymeEC,1.11.1.28,SKiD,real_evidence
EnzymeEC:1.11.1.7,EnzymeEC,1.11.1.7,SKiD,real_evidence
EnzymeEC:1.11.2.1,EnzymeEC,1.11.2.1,SKiD,real_evidence
EnzymeEC:1.12.98.2,EnzymeEC,1.12.98.2,SKiD,real_evidence
EnzymeEC:1.13.11.1,EnzymeEC,1.13.11.1,SKiD,real_evidence
EnzymeEC:1.13.11.11,EnzymeEC,1.13.11.11,SKiD,real_evidence
EnzymeEC:1.13.11.20,EnzymeEC,1.13.11.20,SKiD,real_evidence
EnzymeEC:1.13.11.24,EnzymeEC,1.13.11.24,SKiD,real_evidence
EnzymeEC:1.13.11.27,EnzymeEC,1.13.11.27,SKiD,real_evidence
EnzymeEC:1.13.11.33,EnzymeEC,1.13.11.33,SKiD,real_evidence
EnzymeEC:1.13.11.34,EnzymeEC,1.13.11.34,SKiD,real_evidence
EnzymeEC:1.13.11.37,EnzymeEC,1.13.11.37,SKiD,real_evidence
EnzymeEC:1.13.11.4,EnzymeEC,1.13.11.4,SKiD,real_evidence
EnzymeEC:1.13.11.40,EnzymeEC,1.13.11.40,SKiD,real_evidence
EnzymeEC:1.13.11.47,EnzymeEC,1.13.11.47,SKiD,real_evidence
EnzymeEC:1.13.11.49,EnzymeEC,1.13.11.49,SKiD,real_evidence
EnzymeEC:1.13.11.5,EnzymeEC,1.13.11.5,SKiD,real_evidence
EnzymeEC:1.13.11.52,EnzymeEC,1.13.11.52,SKiD,real_evidence
EnzymeEC:1.13.11.54,EnzymeEC,1.13.11.54,SKiD,real_evidence
EnzymeEC:1.13.11.57,EnzymeEC,1.13.11.57,SKiD,real_evidence
EnzymeEC:1.13.11.66,EnzymeEC,1.13.11.66,SKiD,real_evidence
EnzymeEC:1.13.11.67,EnzymeEC,1.13.11.67,SKiD,real_evidence
EnzymeEC:1.13.11.72,EnzymeEC,1.13.11.72,SKiD,real_evidence
EnzymeEC:1.13.11.78,EnzymeEC,1.13.11.78,SKiD,real_evidence
EnzymeEC:1.13.11.80,EnzymeEC,1.13.11.80,SKiD,real_evidence
EnzymeEC:1.13.11.81,EnzymeEC,1.13.11.81,SKiD,real_evidence
EnzymeEC:1.13.11.93,EnzymeEC,1.13.11.93,SKiD,real_evidence
EnzymeEC:1.13.12.19,EnzymeEC,1.13.12.19,SKiD,real_evidence
EnzymeEC:1.13.12.2,EnzymeEC,1.13.12.2,SKiD,real_evidence
EnzymeEC:1.13.12.3,EnzymeEC,1.13.12.3,SKiD,real_evidence
EnzymeEC:1.13.12.7,EnzymeEC,1.13.12.7,SKiD,real_evidence
EnzymeEC:1.13.12.9,EnzymeEC,1.13.12.9,SKiD,real_evidence
EnzymeEC:1.13.99.1,EnzymeEC,1.13.99.1,SKiD,real_evidence
EnzymeEC:1.14.11.1,EnzymeEC,1.14.11.1,SKiD,real_evidence
EnzymeEC:1.14.11.16,EnzymeEC,1.14.11.16,SKiD,real_evidence
EnzymeEC:1.14.11.29,EnzymeEC,1.14.11.29,SKiD,real_evidence
EnzymeEC:1.14.11.30,EnzymeEC,1.14.11.30,SKiD,real_evidence
EnzymeEC:1.14.11.35,EnzymeEC,1.14.11.35,SKiD,real_evidence
EnzymeEC:1.14.11.39,EnzymeEC,1.14.11.39,SKiD,real_evidence
EnzymeEC:1.14.11.41,EnzymeEC,1.14.11.41,SKiD,real_evidence
EnzymeEC:1.14.11.44,EnzymeEC,1.14.11.44,SKiD,real_evidence
EnzymeEC:1.14.11.55,EnzymeEC,1.14.11.55,SKiD,real_evidence
EnzymeEC:1.14.11.56,EnzymeEC,1.14.11.56,SKiD,real_evidence
EnzymeEC:1.14.11.6,EnzymeEC,1.14.11.6,SKiD,real_evidence
EnzymeEC:1.14.11.78,EnzymeEC,1.14.11.78,SKiD,real_evidence
EnzymeEC:1.14.13.113,EnzymeEC,1.14.13.113,SKiD,real_evidence
EnzymeEC:1.14.13.128,EnzymeEC,1.14.13.128,SKiD,real_evidence
EnzymeEC:1.14.13.160,EnzymeEC,1.14.13.160,SKiD,real_evidence
EnzymeEC:1.14.13.195,EnzymeEC,1.14.13.195,SKiD,real_evidence
EnzymeEC:1.14.13.2,EnzymeEC,1.14.13.2,SKiD,real_evidence
EnzymeEC:1.14.13.22,EnzymeEC,1.14.13.22,SKiD,real_evidence
EnzymeEC:1.14.13.231,EnzymeEC,1.14.13.231,SKiD,real_evidence
EnzymeEC:1.14.13.236,EnzymeEC,1.14.13.236,SKiD,real_evidence
EnzymeEC:1.14.13.242,EnzymeEC,1.14.13.242,SKiD,real_evidence
EnzymeEC:1.14.13.44,EnzymeEC,1.14.13.44,SKiD,real_evidence
EnzymeEC:1.14.14.16,EnzymeEC,1.14.14.16,SKiD,real_evidence
EnzymeEC:1.14.14.175,EnzymeEC,1.14.14.175,SKiD,real_evidence
