compound_id,compound_name,smiles,source_resource,source_detail,evidence_class,compound_name_canonical,mw,logp,tpsa,hbd,hba,hazard_proxy,persistence_proxy,availability_score,compound_priority_class,compound_exclusion_reason,natural_product_evidence_score,known_inhibitor_similarity_score,functional_group_inhibition_score,transition_state_mimic_score,active_site_compatibility_score,delivery_plausibility_score,solvent_penalty,reactive_aldehyde_penalty,generic_assay_penalty,intervention_suitability_score,phytochemical_class,phytochemical_class_score,functional_group_hits,compound_rule_evidence_class
acetylpyridine adenine dinucleotide,acetylpyridine adenine dinucleotide,CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,SKiD_substrates,EC=1.1.1.37;site=Substrate+Cofactor,real_evidence,acetylpyridine adenine dinucleotide,663.4500000000002,-1.9121999999999981,292.23999999999995,7.0,16.0,0.7918999999999998,0.12360000000000038,0.55,known_inhibitor_like,,0.443,0.7000000000000001,0.27,0.1,0.2911568476923077,0.21656847692307696,0.0,0.0,0.15,0.29216084769230777,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous,rule_based_model_inference_with_real_source_evidence
pyridinealdehyde adenine dinucleotide,pyridinealdehyde adenine dinucleotide,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C=O,SKiD_substrates,EC=1.1.1.95;site=Substrate+Cofactor,real_evidence,pyridinealdehyde adenine dinucleotide,649.4230000000002,-2.302299999999998,292.23999999999995,7.0,16.0,0.8289733333333332,0.0492320000000005,0.55,known_inhibitor_like,,0.443,0.7000000000000001,0.27,0.1,0.2896371176923077,0.20137117692307693,0.0,0.0,0.15,0.2921417576923077,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous;reactive_aldehyde,rule_based_model_inference_with_real_source_evidence
"9,10-phenanthrenequinone","9,10-phenanthrenequinone",C1=CC=CC=2C3=CC=CC=C3C(C(C12)=O)=O,SKiD_substrates,EC=1.1.1.184;site=Substrate+Cofactor,real_evidence,9 10-phenanthrenequinone,208.21599999999995,2.7326000000000006,34.14,0.0,2.0,0.5150883333333334,0.594244,0.55,oxidative_stress_inducer_candidate,,0.643,0.15,0.42000000000000004,0.1,0.2896106123076923,0.7761061230769231,0.0,0.0,0.15,0.2911804923076923,quinone_redox_candidate,0.63,quinone_ros_redox,rule_based_model_inference_with_real_source_evidence
2-oxo-octanoate,2-oxo-octanoate,O=C(C(=O)[O-])CCCCCC,SKiD_substrates,EC=1.1.3.15;site=Substrate+Cofactor,real_evidence,2-oxo-octanoate,157.189,0.27579999999999916,57.2,0.0,3.0,0.16546583333333323,0.1507593333333332,0.55,natural_product_candidate,,0.443,0.15,0.15,0.25,0.24020532076923073,0.7020532076923076,0.0,0.0,0.15,0.2880086741025641,organic_acid_or_lactone,0.63,,rule_based_model_inference_with_real_source_evidence
3-acetylpyridine adenine dinucleotide,3-acetylpyridine adenine dinucleotide,CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,SKiD_substrates,EC=1.1.1.27;site=Substrate+Cofactor,real_evidence,3-acetylpyridine adenine dinucleotide,662.4420000000001,-2.5441999999999956,295.07,6.0,17.0,0.8700599999999995,0.01759466666666748,0.55,known_inhibitor_like,,0.443,0.7000000000000001,0.27,0.1,0.2869406630769231,0.17440663076923096,0.0,0.0,0.15,0.2870458897435898,alkaloid_nitrogenous,0.63,alkaloid_nitrogenous,rule_based_model_inference_with_real_source_evidence
3-chlorosalicylate,3-chlorosalicylate,ClC1=C(C(C(=O)[O-])=CC=C1)O,SKiD_substrates,EC=1.13.11.4;site=Substrate_only,real_evidence,3-chlorosalicylate,171.559,0.40909999999999985,60.36,1.0,3.0,0.1941033333333333,0.18255599999999997,0.55,natural_product_candidate,,0.443,0.15,0.15,0.25,0.2427464146153846,0.7274641461538462,0.0,0.0,0.15,0.28456953461538465,phenolic_acid_or_benzoate,0.63,,rule_based_model_inference_with_real_source_evidence
5-chlorosalicylate,5-chlorosalicylate,ClC1=CC=C(C(C(=O)[O-])=C1)O,SKiD_substrates,EC=1.13.11.4;site=Substrate_only,real_evidence,5-chlorosalicylate,171.559,0.4091000000000001,60.36,1.0,3.0,0.19410333333333332,0.182556,0.55,natural_product_candidate,,0.443,0.15,0.15,0.25,0.2427464146153846,0.7274641461538462,0.0,0.0,0.15,0.28456953461538465,phenolic_acid_or_benzoate,0.63,,rule_based_model_inference_with_real_source_evidence
4-chlorosalicylate,4-chlorosalicylate,ClC=1C=C(C(C(=O)[O-])=CC1)O,SKiD_substrates,EC=1.13.11.4;site=Substrate_only,real_evidence,4-chlorosalicylate,171.559,0.40909999999999996,60.36,1.0,3.0,0.19410333333333332,0.182556,0.55,natural_product_candidate,,0.443,0.15,0.15,0.25,0.2427464146153846,0.7274641461538462,0.0,0.0,0.15,0.28456953461538465,phenolic_acid_or_benzoate,0.63,,rule_based_model_inference_with_real_source_evidence
2-hydroxy-3-oxopropane-1-sulfonate,2-hydroxy-3-oxopropane-1-sulfonate,OC(CS(=O)(=O)[O-])C=O,SKiD_substrates,EC=1.1.1.373;site=Substrate+Cofactor,real_evidence,2-hydroxy-3-oxopropane-1-sulfonate,153.135,-1.9085999999999992,94.5,1.0,5.0,0.3661874999999999,0.0,0.55,reactive_toxic_aldehyde_control,highly_reactive_small_aldehyde_control_only,0.443,0.3,0.54,0.7000000000000001,0.5532689623076923,0.5926896230769232,0.0,0.85,0.15,0.28194646230769227,organosulfur_sulfonate,0.63,phenolic_or_aromatic_hydroxyl;reactive_aldehyde;transition_state_acidic_mimic,rule_based_model_inference_with_real_source_evidence
3-bromosalicylate,3-bromosalicylate,BrC1=C(C(C(=O)[O-])=CC=C1)O,SKiD_substrates,EC=1.13.11.4;site=Substrate_only,real_evidence,3-bromosalicylate,216.01,0.5182,60.36,1.0,3.0,0.24478333333333332,0.23037333333333332,0.55,natural_product_candidate,,0.443,0.15,0.15,0.25,0.24707856769230768,0.770785676923077,0.0,0.0,0.15,0.27899470102564095,phenolic_acid_or_benzoate,0.63,,rule_based_model_inference_with_real_source_evidence
